"Country","Method","Energy.type","IEAMW","Chopped.mat","Chopped.var","Product.aggregation","Industry.aggregation","GrossNet","var","1971","2000"
"GHA","PCM","X","IEA","None","None","Specified","Specified","Net","eta_pf",0.861030176757263,0.850983106391836
"GHA","PCM","X","IEA","None","None","Specified","Specified","Net","eta_fu",0.129451287311424,0.223173210142642
"GHA","PCM","X","IEA","None","None","Specified","Specified","Net","eta_pu",0.11146146479521,0.189916631630623
"GHA","PCM","X","MW","None","None","Specified","Specified","Gross","EX.p",42972.7260405851,57492.4739253674
"GHA","PCM","X","MW","None","None","Specified","Specified","Gross","EX.f",21996.666267719,29657.2290030344
"GHA","PCM","X","MW","None","None","Specified","Specified","Gross","EX.u",1581.43598627902,2115.66304179562
"GHA","PCM","X","MW","None","None","Specified","Specified","Gross","eta_pf",0.511875049466132,0.515845413810741
"GHA","PCM","X","MW","None","None","Specified","Specified","Gross","eta_fu",0.0718943483085817,0.0713371785873573
"GHA","PCM","X","MW","None","None","Specified","Specified","Gross","eta_pu",0.0368009230967906,0.0367989564084861
"GHA","PCM","X","MW","None","None","Specified","Specified","Net","EX.p",42972.7260405851,57492.4739253674
"GHA","PCM","X","MW","None","None","Specified","Specified","Net","EX.f",21996.666267719,29657.2290030344
"GHA","PCM","X","MW","None","None","Specified","Specified","Net","EX.u",1581.43598627902,2115.66304179562
"GHA","PCM","X","MW","None","None","Specified","Specified","Net","eta_pf",0.511875049466132,0.515845413810741
"GHA","PCM","X","MW","None","None","Specified","Specified","Net","eta_fu",0.0718943483085817,0.0713371785873573
"GHA","PCM","X","MW","None","None","Specified","Specified","Net","eta_pu",0.0368009230967906,0.0367989564084861
"GHA","PCM","X","Both","None","None","Specified","Specified","Gross","EX.p",179666.429045585,344825.493063367
"GHA","PCM","X","Both","None","None","Specified","Specified","Gross","EX.f",140648.878279719,275481.724462034
"GHA","PCM","X","Both","None","None","Specified","Specified","Gross","EX.u",16894.4630598866,56836.1965024528
"GHA","PCM","X","Both","None","None","Specified","Specified","Gross","eta_pf",0.782833381989428,0.798901850366991
"GHA","PCM","X","Both","None","None","Specified","Specified","Gross","eta_fu",0.120118007811533,0.206315669808745
"GHA","PCM","X","Both","None","None","Specified","Specified","Gross","eta_pu",0.0940323862929346,0.164825970369912
"GHA","PCM","X","Both","None","None","Specified","Specified","Net","EX.p",179666.429045585,344825.493063367
"GHA","PCM","X","Both","None","None","Specified","Specified","Net","EX.f",139694.069527719,274172.774198034
"GHA","PCM","X","Both","None","None","Specified","Specified","Net","EX.u",16817.5163514978,56684.982192742
"GHA","PCM","X","Both","None","None","Specified","Specified","Net","eta_pf",0.777519040534143,0.795105871559359
"GHA","PCM","X","Both","None","None","Specified","Specified","Net","eta_fu",0.120388191197771,0.206749128751196
"GHA","PCM","X","Both","None","None","Specified","Specified","Net","eta_pu",0.0936041109117319,0.164387446209858
"GHA","PCM","X","IEA","None","None","Despecified","Despecified","Gross","EX.p",136693.703005,287333.019138
"GHA","PCM","X","IEA","None","None","Despecified","Despecified","Gross","EX.f",118652.212012,245824.495459
"GHA","PCM","X","IEA","None","None","Despecified","Despecified","Gross","EX.u",15313.0270736076,54720.5334606572
"GHA","PCM","X","IEA","None","None","Despecified","Despecified","Gross","eta_pf",0.86801520043436,0.855538622732863
"GHA","PCM","X","IEA","None","None","Despecified","Despecified","Gross","eta_fu",0.129058083401419,0.222600003138352
"GHA","PCM","X","IEA","None","None","Despecified","Despecified","Gross","eta_pu",0.112024378131357,0.190442900105317
"GHA","PCM","X","IEA","None","None","Despecified","Despecified","Net","EX.p",136693.703005,287333.019138
"GHA","PCM","X","IEA","None","None","Despecified","Despecified","Net","EX.f",117697.40326,244515.545195
"GHA","PCM","X","IEA","None","None","Despecified","Despecified","Net","EX.u",15236.0803652187,54569.3191509464
"GHA","PCM","X","IEA","None","None","Despecified","Despecified","Net","eta_pf",0.861030176757263,0.850983106391836
"GHA","PCM","X","IEA","None","None","Despecified","Despecified","Net","eta_fu",0.129451287311424,0.223173210142642
"GHA","PCM","X","IEA","None","None","Despecified","Despecified","Net","eta_pu",0.11146146479521,0.189916631630623
"GHA","PCM","X","MW","None","None","Despecified","Despecified","Gross","EX.p",42972.7260405851,57492.4739253674
"GHA","PCM","X","MW","None","None","Despecified","Despecified","Gross","EX.f",21996.666267719,29657.2290030344
"GHA","PCM","X","MW","None","None","Despecified","Despecified","Gross","EX.u",1581.43598627902,2115.66304179562
